,Unnamed: 0,identificativo,fondo,serie,collocazione,copia,collocazione_antica,recto,data,notaio,data_i,data_f,is_digitized,fondo_serie
1001,1001,FV SG Pergamene 6762,San Giorgio in Braida (ASVat FV 1),Pergamene,6762,Originale,n.d.,n.d.,1013 00 00,Vuinizo notarius,1013 00 00,,No,FV SG Pergamene
1002,1002,FV SG Pergamene 6763,San Giorgio in Braida (ASVat FV 1),Pergamene,6763,Originale,n.d.,n.d.,1025 02 21,Aldeprandus notarius sacri palacii,1025 02 21,,No,FV SG Pergamene
1003,1003,FV SG Pergamene 6764,San Giorgio in Braida (ASVat FV 1),Pergamene,6764,Originale,n.d.,n.d.,1028 07 00,Gumbertus notarius,1028 07 00,,No,FV SG Pergamene
1004,1004,FV SG Pergamene 6765,San Giorgio in Braida (ASVat FV 1),Pergamene,6765,Originale,n.d.,n.d.,1028 07 02,Gumbertus notarius,1028 07 02,,No,FV SG Pergamene
1005,1005,FV SG Pergamene 6766,San Giorgio in Braida (ASVat FV 1),Pergamene,6766,Originale,n.d.,n.d.,1030 09 03,Arnaldus notarius et iudex sacri palacio,1030 09 03,,No,FV SG Pergamene
1006,1006,FV SG Pergamene 6767,San Giorgio in Braida (ASVat FV 1),Pergamene,6767,Originale,n.d.,n.d.,1033 02 04,Lanfrancus notarius et iudex sacri palacii,1033 02 04,,No,FV SG Pergamene
1007,1007,FV SG Pergamene 6768,San Giorgio in Braida (ASVat FV 1),Pergamene,6768,Originale,n.d.,n.d.,1034 02 00,Vualdo notarius sacri palacii,1034 02 00,,No,FV SG Pergamene
1008,1008,FV SG Pergamene 6769,San Giorgio in Braida (ASVat FV 1),Pergamene,6769,Originale,n.d.,n.d.,1034 05 19,Amelricus notarius,1034 05 19,,No,FV SG Pergamene
1009,1009,FV SG Pergamene 6770,San Giorgio in Braida (ASVat FV 1),Pergamene,6770,Originale,n.d.,n.d.,1034 05 16,Amelricus notarius,1034 05 16,,No,FV SG Pergamene
1010,1010,FV SG Pergamene 6771,San Giorgio in Braida (ASVat FV 1),Pergamene,6771,Originale,n.d.,n.d.,1034 05 29,Amelricus notarius,1034 05 29,,No,FV SG Pergamene
1011,1011,FV SG Pergamene 6772,San Giorgio in Braida (ASVat FV 1),Pergamene,6772,Originale,n.d.,n.d.,1034 07 31,Amelricus notarius,1034 07 31,,No,FV SG Pergamene
1012,1012,FV SG Pergamene 6773,San Giorgio in Braida (ASVat FV 1),Pergamene,6773,Originale,n.d.,n.d.,1034 11 00,Amelrico notarius,1034 11 00,,No,FV SG Pergamene
1013,1013,FV SG Pergamene 6774,San Giorgio in Braida (ASVat FV 1),Pergamene,6774,Originale,n.d.,n.d.,1035 05 13,Herardus notarius sacri palaci,1035 05 13,,No,FV SG Pergamene
1014,1014,FV SG Pergamene 6775,San Giorgio in Braida (ASVat FV 1),Pergamene,6775,Originale,n.d.,n.d.,1035 08 00,Armenulfo notarius,1035 08 00,,No,FV SG Pergamene
1015,1015,FV SG Pergamene 6776,San Giorgio in Braida (ASVat FV 1),Pergamene,6776,Originale,n.d.,n.d.,1034 01 05,Amelricus notarius,1034 01 05,,No,FV SG Pergamene
1016,1016,FV SG Pergamene 6777,San Giorgio in Braida (ASVat FV 1),Pergamene,6777,Originale,n.d.,n.d.,1023 06 02,Arnaldus notarius et iudex sacri palacii,1023 06 02,,No,FV SG Pergamene
1017,1017,FV SG Pergamene 6778,San Giorgio in Braida (ASVat FV 1),Pergamene,6778,Originale,n.d.,n.d.,1037 00 00-1055 00 00,Hoto notarius,1037 00 00,1055 00 00,No,FV SG Pergamene
1018,1018,FV SG Pergamene 6779,San Giorgio in Braida (ASVat FV 1),Pergamene,6779,Originale,n.d.,n.d.,1039 06 00,Dalbertus qui et Rozo notarius sacri palacii,1039 06 00,,No,FV SG Pergamene
1019,1019,FV SG Pergamene 6780,San Giorgio in Braida (ASVat FV 1),Pergamene,6780,Originale,n.d.,n.d.,1039 06 00,Dalbertus qui et Rozo notarius sacri palacii,1039 06 00,,No,FV SG Pergamene
1020,1020,FV SG Pergamene 6781,San Giorgio in Braida (ASVat FV 1),Pergamene,6781,Originale,n.d.,n.d.,1041 04 11,Hamelricus notarius,1041 04 11,,No,FV SG Pergamene
1021,1021,FV SG Pergamene 6782,San Giorgio in Braida (ASVat FV 1),Pergamene,6782,Copia XII secolo Bonefacius notarius,n.d.,n.d.,1041 05 09,Iohannes notarius,1041 05 09,,No,FV SG Pergamene
1022,1022,FV SG Pergamene 6783,San Giorgio in Braida (ASVat FV 1),Pergamene,6783,Originale,n.d.,n.d.,1041 11 29,Hamelricus notarius,1041 11 29,,No,FV SG Pergamene
1023,1023,FV SG Pergamene 6784,San Giorgio in Braida (ASVat FV 1),Pergamene,6784,Originale,n.d.,n.d.,1041 11 29,Hamelricus notarius,1041 11 29,,No,FV SG Pergamene
1024,1024,FV SG Pergamene 6785,San Giorgio in Braida (ASVat FV 1),Pergamene,6785,Originale,n.d.,n.d.,1040 12 00,Silvester notarius sacri palacii,1040 12 00,,No,FV SG Pergamene
1025,1025,FV SG Pergamene 6786,San Giorgio in Braida (ASVat FV 1),Pergamene,6786,Originale,n.d.,n.d.,1042 02 14,Ambrosius notarius atque iudex sacri palacii,1042 02 14,,No,FV SG Pergamene
1026,1026,FV SG Pergamene 6787,San Giorgio in Braida (ASVat FV 1),Pergamene,6787,Originale,n.d.,n.d.,1042 06 11,Amelricus notarius,1042 06 11,,No,FV SG Pergamene
1027,1027,FV SG Pergamene 6788,San Giorgio in Braida (ASVat FV 1),Pergamene,6788,Originale,n.d.,n.d.,1043 03 07,Amelricus notarius,1043 03 07,,No,FV SG Pergamene
1028,1028,FV SG Pergamene 6789,San Giorgio in Braida (ASVat FV 1),Pergamene,6789,Originale,n.d.,n.d.,1043 04 13,Oto notarius,1043 04 13,,No,FV SG Pergamene
1029,1029,FV SG Pergamene 6790,San Giorgio in Braida (ASVat FV 1),Pergamene,6790,Originale,n.d.,n.d.,1045 04 00,Lambertus notarius adque iudex sacri palacii,1045 04 00,,No,FV SG Pergamene
1030,1030,FV SG Pergamene 6791,San Giorgio in Braida (ASVat FV 1),Pergamene,6791,Originale,n.d.,n.d.,1045 05 24,Amelricus notarius,1045 05 24,,No,FV SG Pergamene
1031,1031,FV SG Pergamene 6792,San Giorgio in Braida (ASVat FV 1),Pergamene,6792,Copia XI secolo Hubertus notarius sacri palacii,n.d.,n.d.,1046 04 23,Ambrosius notarius atque iudex sacri palacii,1046 04 23,,No,FV SG Pergamene
1032,1032,FV SG Pergamene 6793,San Giorgio in Braida (ASVat FV 1),Pergamene,6793,Copia 1430,n.d.,n.d.,1046 04 24,Ambrosius notarius atque iudex sacri palacii,1046 04 24,,No,FV SG Pergamene
1033,1033,FV SG Pergamene 6794,San Giorgio in Braida (ASVat FV 1),Pergamene,6794,Originale,n.d.,n.d.,1046 07 12,Teuzo notarius,1046 07 12,,No,FV SG Pergamene
1034,1034,FV SG Pergamene 6795,San Giorgio in Braida (ASVat FV 1),Pergamene,6795,Originale,n.d.,n.d.,1047 05 07,Milo notarius sacri palacii,1047 05 07,,No,FV SG Pergamene
1035,1035,FV SG Pergamene 6796,San Giorgio in Braida (ASVat FV 1),Pergamene,6796,Originale,n.d.,n.d.,1047 05 07,Milo notarius sacri palacii,1047 05 07,,No,FV SG Pergamene
1036,1036,FV SG Pergamene 6797,San Giorgio in Braida (ASVat FV 1),Pergamene,6797,Originale,n.d.,n.d.,1048 05 02,Gauselmo notarius,1048 05 02,,No,FV SG Pergamene
1037,1037,FV SG Pergamene 6798,San Giorgio in Braida (ASVat FV 1),Pergamene,6798,Originale,n.d.,n.d.,1049 04 12,Silvester notarius sacri palacii,1049 04 12,,No,FV SG Pergamene
1038,1038,FV SG Pergamene 6799,San Giorgio in Braida (ASVat FV 1),Pergamene,6799,Originale,n.d.,n.d.,1049 05 24,Rozo notarius et iudex sacri palacii,1049 05 24,,No,FV SG Pergamene
1039,1039,FV SG Pergamene 6800,San Giorgio in Braida (ASVat FV 1),Pergamene,6800,Originale,n.d.,n.d.,1051 10 10,Teudisius notarius et iudex,1051 10 10,,No,FV SG Pergamene
1040,1040,FV SG Pergamene 6802,San Giorgio in Braida (ASVat FV 1),Pergamene,6802,Originale,n.d.,n.d.,1054 07 06,Silvester notarius sacri palacii,1054 07 06,,No,FV SG Pergamene
1041,1041,FV SG Pergamene 6803,San Giorgio in Braida (ASVat FV 1),Pergamene,6803,Originale,n.d.,n.d.,1055 06 24,Gauselmo notarius,1055 06 24,,No,FV SG Pergamene
1042,1042,FV SG Pergamene 6804,San Giorgio in Braida (ASVat FV 1),Pergamene,6804,Originale,n.d.,n.d.,1054 06 00,Silvester notarius sacri palacii,1054 06 00,,No,FV SG Pergamene
1043,1043,FV SG Pergamene 6805,San Giorgio in Braida (ASVat FV 1),Pergamene,6805,Originale,n.d.,n.d.,1058 00 00-1063 00 00,Documento vescovile,1058 00 00,1063 00 00,No,FV SG Pergamene
1044,1044,FV SG Pergamene 6806,San Giorgio in Braida (ASVat FV 1),Pergamene,6806,Originale,n.d.,n.d.,1061 01 06,Iohannes notarius,1061 01 06,,No,FV SG Pergamene
1045,1045,FV SG Pergamene 6807,San Giorgio in Braida (ASVat FV 1),Pergamene,6807,Originale,n.d.,n.d.,1060 08 26,Chuonradus notarius,1060 08 26,,No,FV SG Pergamene
1046,1046,FV SG Pergamene 6808,San Giorgio in Braida (ASVat FV 1),Pergamene,6808,Originale,n.d.,n.d.,1060 06 12,Oto notarius,1060 06 12,,No,FV SG Pergamene
1047,1047,FV SG Pergamene 6809,San Giorgio in Braida (ASVat FV 1),Pergamene,6809,Originale,n.d.,n.d.,1061 10 00,Teudisius notarius et iudex domni imperatoris,1061 10 00,,No,FV SG Pergamene
1048,1048,FV SG Pergamene 6810,San Giorgio in Braida (ASVat FV 1),Pergamene,6810,Originale,n.d.,n.d.,1061 10 07,Iohannes notarius,1061 10 07,,No,FV SG Pergamene
1049,1049,FV SG Pergamene 6811,San Giorgio in Braida (ASVat FV 1),Pergamene,6811,Originale,n.d.,n.d.,1061 10 07,Iohannes notarius,1061 10 07,,No,FV SG Pergamene
1050,1050,FV SG Pergamene 6812,San Giorgio in Braida (ASVat FV 1),Pergamene,6812,Copia XIV secolo non autenticata.,n.d.,n.d.,1062 10 10,Ingelbaldus notarius sacri palacii,1062 10 10,,No,FV SG Pergamene
1051,1051,FV SG Pergamene 6813,San Giorgio in Braida (ASVat FV 1),Pergamene,6813,Originale,n.d.,n.d.,1062 10 10,Ingelbaldus notarius sacri palacii,1062 10 10,,No,FV SG Pergamene
1052,1052,FV SG Pergamene 6814,San Giorgio in Braida (ASVat FV 1),Pergamene,6814,Originale,n.d.,n.d.,1060 11 17,Gandulfus notarius,1060 11 17,,No,FV SG Pergamene
1053,1053,FV SG Pergamene 6815,San Giorgio in Braida (ASVat FV 1),Pergamene,6815,Originale,n.d.,n.d.,1066 10 29,Chunradus notarius,1066 10 29,,No,FV SG Pergamene
1054,1054,FV SG Pergamene 6816,San Giorgio in Braida (ASVat FV 1),Pergamene,6816,Originale,n.d.,n.d.,1067 00 00,Vualdo notarius sacri palacii,1067 00 00,,No,FV SG Pergamene
1055,1055,FV SG Pergamene 6817,San Giorgio in Braida (ASVat FV 1),Pergamene,6817,Originale,n.d.,n.d.,1069 03 21,Lanfrancus notarius sacri palacii,1069 03 21,,No,FV SG Pergamene
1056,1056,FV SG Pergamene 6818,San Giorgio in Braida (ASVat FV 1),Pergamene,6818,Originale,n.d.,n.d.,1075 07 25,Iohannes qui et Vualdo notarius sacri palacii,1075 07 25,,No,FV SG Pergamene
1057,1057,FV SG Pergamene 6819,San Giorgio in Braida (ASVat FV 1),Pergamene,6819,Originale,n.d.,n.d.,1075 07 25,Iohannes qui et Vualdo notarius sacri palacii,1075 07 25,,No,FV SG Pergamene
1058,1058,FV SG Pergamene 6820,San Giorgio in Braida (ASVat FV 1),Pergamene,6820,Originale,n.d.,n.d.,1075 01 10,Iohannes notarius,1075 01 10,,No,FV SG Pergamene
1059,1059,FV SG Pergamene 6821,San Giorgio in Braida (ASVat FV 1),Pergamene,6821,Originale,n.d.,n.d.,1076 01 22,Hopizo notarius,1076 01 22,,No,FV SG Pergamene
1060,1060,FV SG Pergamene 6822,San Giorgio in Braida (ASVat FV 1),Pergamene,6822,Originale,n.d.,n.d.,1077 03 13,Armannus notarius sacri palacii,1077 03 13,,No,FV SG Pergamene
1061,1061,FV SG Pergamene 6823,San Giorgio in Braida (ASVat FV 1),Pergamene,6823,Originale,n.d.,n.d.,1077 02 00-1077 03 00,Diploma imperiale,1077 02 00,1077 03 00,No,FV SG Pergamene
1062,1062,FV SG Pergamene 6824,San Giorgio in Braida (ASVat FV 1),Pergamene,6824,Originale,n.d.,n.d.,1078 05 00,Atto non convalidato,1078 05 00,,No,FV SG Pergamene
1063,1063,FV SG Pergamene 6826,San Giorgio in Braida (ASVat FV 1),Pergamene,6826,Copia XI secolo Albericus qui Bonefacius notarius,n.d.,n.d.,1078 10 14,Iohannes qui et Vualdo notarius sacri palacii,1078 10 14,,No,FV SG Pergamene
1064,1064,FV SG Pergamene 6827,San Giorgio in Braida (ASVat FV 1),Pergamene,6827,Originale,n.d.,n.d.,1079 09 18,Rozo notarius sacri palacii,1079 09 18,,No,FV SG Pergamene
1065,1065,FV SG Pergamene 6828,San Giorgio in Braida (ASVat FV 1),Pergamene,6828,Originale,n.d.,n.d.,1079 11 04,Gotefredus notarius,1079 11 04,,No,FV SG Pergamene
1066,1066,FV SG Pergamene 6829,San Giorgio in Braida (ASVat FV 1),Pergamene,6829,Originale,n.d.,n.d.,1080 01 16,Bonus Senior notarius,1080 01 16,,No,FV SG Pergamene
1067,1067,FV SG Pergamene 6830,San Giorgio in Braida (ASVat FV 1),Pergamene,6830,Originale,n.d.,n.d.,1085 04 29,Iohannes notarius,1085 04 29,,No,FV SG Pergamene
1068,1068,FV SG Pergamene 6831,San Giorgio in Braida (ASVat FV 1),Pergamene,6831,Originale,n.d.,n.d.,1082 11 12,Atto non convalidato,1082 11 12,,No,FV SG Pergamene
1069,1069,FV SG Pergamene 6832,San Giorgio in Braida (ASVat FV 1),Pergamene,6832,Originale,n.d.,n.d.,1085 03 19,Amelricus notarius,1085 03 19,,No,FV SG Pergamene
1070,1070,FV SG Pergamene 6833,San Giorgio in Braida (ASVat FV 1),Pergamene,6833,Originale,n.d.,n.d.,1085 05 03,Amizo notarius,1085 05 03,,No,FV SG Pergamene
1071,1071,FV SG Pergamene 6834,San Giorgio in Braida (ASVat FV 1),Pergamene,6834,Originale,n.d.,n.d.,1085 10 08,Bonefacius notarius,1085 10 08,,No,FV SG Pergamene
1072,1072,FV SG Pergamene 6835,San Giorgio in Braida (ASVat FV 1),Pergamene,6835,Copia XII secolo Ardericus imperatori Federici notarius,n.d.,n.d.,1086 02 01,Amizo notarius,1086 02 01,,No,FV SG Pergamene
1073,1073,FV SG Pergamene 6836,San Giorgio in Braida (ASVat FV 1),Pergamene,6836,Originale,n.d.,n.d.,1086 02 01,Amizo notarius,1086 02 01,,No,FV SG Pergamene
1074,1074,FV SG Pergamene 6837,San Giorgio in Braida (ASVat FV 1),Pergamene,6837,Originale,n.d.,n.d.,1086 04 16,Amelricus notarius,1086 04 16,,No,FV SG Pergamene
1075,1075,FV SG Pergamene 6838,San Giorgio in Braida (ASVat FV 1),Pergamene,6838,Originale,n.d.,n.d.,1086 04 16,Amelricus notarius,1086 04 16,,No,FV SG Pergamene
1076,1076,FV SG Pergamene 6839,San Giorgio in Braida (ASVat FV 1),Pergamene,6839,Originale,n.d.,n.d.,1086 11 19,Iohannes qui et Vualdo notarius sacri palacii,1086 11 19,,No,FV SG Pergamene
1077,1077,FV SG Pergamene 6840,San Giorgio in Braida (ASVat FV 1),Pergamene,6840,Originale,n.d.,n.d.,1091 05 13,Amelgausus notarius,1091 05 13,,No,FV SG Pergamene
1078,1078,FV SG Pergamene 6841,San Giorgio in Braida (ASVat FV 1),Pergamene,6841,Originale,n.d.,n.d.,1092 07 18,Amizo notarius,1092 07 18,,No,FV SG Pergamene
1079,1079,FV SG Pergamene 6842,San Giorgio in Braida (ASVat FV 1),Pergamene,6842,Originale,n.d.,n.d.,1094 06 12,Amizo notarius,1094 06 12,,No,FV SG Pergamene
1080,1080,FV SG Pergamene 6843,San Giorgio in Braida (ASVat FV 1),Pergamene,6843,Originale,n.d.,n.d.,1096 10 25,Girardus notarius domni imperatoris,1096 10 25,,No,FV SG Pergamene
1081,1081,FV SG Pergamene 6844,San Giorgio in Braida (ASVat FV 1),Pergamene,6844,Originale,n.d.,n.d.,1090 03 08,Vualfredus sacri palacii notarius,1090 03 08,,No,FV SG Pergamene
1082,1082,FV SG Pergamene 6845,San Giorgio in Braida (ASVat FV 1),Pergamene,6845,Originale,n.d.,n.d.,1099 03 22,Albericus qui Bonefacius notarius,1099 03 22,,No,FV SG Pergamene
1083,1083,FV SG Pergamene 6846,San Giorgio in Braida (ASVat FV 1),Pergamene,6846,Originale,n.d.,n.d.,1100 07 13,Bonefacius notarius,1100 07 13,,No,FV SG Pergamene
1084,1084,FV SG Pergamene 6847,San Giorgio in Braida (ASVat FV 1),Pergamene,6847,Copia XII secolo Montenarius quondam Magnani notarii filius domni Friderici imperatoris notarius,n.d.,n.d.,1100 11 30,Bonifacius notarius,1100 11 30,,No,FV SG Pergamene
1085,1085,FV SG Pergamene 6848,San Giorgio in Braida (ASVat FV 1),Pergamene,6848,Originale,n.d.,n.d.,1101 11 20,Benzo notarius sacri palacii,1101 11 20,,No,FV SG Pergamene
1086,1086,FV SG Pergamene 6849,San Giorgio in Braida (ASVat FV 1),Pergamene,6849,Originale,n.d.,n.d.,1106 04 24,Amelricus notarius,1106 04 24,,No,FV SG Pergamene
1087,1087,FV SG Pergamene 6850,San Giorgio in Braida (ASVat FV 1),Pergamene,6850,Originale,n.d.,n.d.,1107 06 25,Amelgausus notarius,1107 06 25,,No,FV SG Pergamene
1088,1088,FV SG Pergamene 6851,San Giorgio in Braida (ASVat FV 1),Pergamene,6851,Originale,n.d.,n.d.,1105 08 26,Amelgausus notarius,1105 08 26,,No,FV SG Pergamene
1089,1089,FV SG Pergamene 6852,San Giorgio in Braida (ASVat FV 1),Pergamene,6852,Originale,n.d.,n.d.,1119 01 11,Albericus qui Bonefacius notarius,1119 01 11,,No,FV SG Pergamene
1090,1090,FV SG Pergamene 6853,San Giorgio in Braida (ASVat FV 1),Pergamene,6853,Originale,n.d.,n.d.,1119 02 00,Balduinus notarius et iudex,1119 02 00,,No,FV SG Pergamene
1091,1091,FV SG Pergamene 6854,San Giorgio in Braida (ASVat FV 1),Pergamene,6854,Copia Marchesinus sacri palatii notarius,n.d.,n.d.,1109 07 11,Enricus notarius,1109 07 11,,No,FV SG Pergamene
1092,1092,FV SG Pergamene 6855,San Giorgio in Braida (ASVat FV 1),Pergamene,6855,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
1093,1093,FV SG Pergamene 6856,San Giorgio in Braida (ASVat FV 1),Pergamene,6856,Originale,n.d.,n.d.,1111 09 01,Vitalis notarius,1111 09 01,,No,FV SG Pergamene
1094,1094,FV SG Pergamene 6857,San Giorgio in Braida (ASVat FV 1),Pergamene,6857,Originale,n.d.,n.d.,1111 12 27,Trasmundus notarius,1111 12 27,,No,FV SG Pergamene
1095,1095,FV SG Pergamene 6858,San Giorgio in Braida (ASVat FV 1),Pergamene,6858,Originale,n.d.,n.d.,1111 07 27,Enricus notarius,1111 07 27,,No,FV SG Pergamene
1096,1096,FV SG Pergamene 6859,San Giorgio in Braida (ASVat FV 1),Pergamene,6859,Originale,n.d.,n.d.,1113 04 04,Trasmundus notarius,1113 04 04,,No,FV SG Pergamene
1097,1097,FV SG Pergamene 6860,San Giorgio in Braida (ASVat FV 1),Pergamene,6860,Originale,n.d.,n.d.,1113 04 12,Bonefacius notarius,1113 04 12,,No,FV SG Pergamene
1098,1098,FV SG Pergamene 6861,San Giorgio in Braida (ASVat FV 1),Pergamene,6861,Originale,n.d.,n.d.,1113 10 20,Trasmundus notarius,1113 10 20,,No,FV SG Pergamene
1099,1099,FV SG Pergamene 6862,San Giorgio in Braida (ASVat FV 1),Pergamene,6862,Originale,n.d.,n.d.,1107 04 26,Vuilielmus notarius sacri palacii,1107 04 26,,No,FV SG Pergamene
1100,1100,FV SG Pergamene 6863,San Giorgio in Braida (ASVat FV 1),Pergamene,6863,Originale,n.d.,n.d.,1119 04 12,Trasmundus notarius,1119 04 12,,No,FV SG Pergamene
1101,1101,FV SG Pergamene 6874,San Giorgio in Braida (ASVat FV 1),Pergamene,6874,Originale,n.d.,n.d.,1001 00 00-1100 00 00,Atto non convalidato,1001 00 00,1100 00 00,No,FV SG Pergamene
1102,1102,FV SG Pergamene 6875,San Giorgio in Braida (ASVat FV 1),Pergamene,6875,"Trasmundus notarius, copia XII secolo",n.d.,n.d.,1121 07 22,Atto non convalidato,1121 07 22,,No,FV SG Pergamene
1103,1103,FV SG Pergamene 6876,San Giorgio in Braida (ASVat FV 1),Pergamene,6876,Copia?,n.d.,n.d.,1121 07 22,Atto non convalidato,1121 07 22,,No,FV SG Pergamene
1104,1104,FV SG Pergamene 6877,San Giorgio in Braida (ASVat FV 1),Pergamene,6877,Originale,n.d.,n.d.,1121 11 05,Enricus notarius,1121 11 05,,No,FV SG Pergamene
1105,1105,FV SG Pergamene 6878,San Giorgio in Braida (ASVat FV 1),Pergamene,6878,Originale,n.d.,n.d.,1121 10 28,Enricus notarius,1121 10 28,,No,FV SG Pergamene
1106,1106,FV SG Pergamene 6879,San Giorgio in Braida (ASVat FV 1),Pergamene,6879,Originale,n.d.,n.d.,1122 04 24,Bertramus notarius,1122 04 24,,No,FV SG Pergamene
1107,1107,FV SG Pergamene 6880,San Giorgio in Braida (ASVat FV 1),Pergamene,6880,Originale,n.d.,n.d.,1123 02 22,Documento vescovile,1123 02 22,,No,FV SG Pergamene
1108,1108,FV SG Pergamene 6881,San Giorgio in Braida (ASVat FV 1),Pergamene,6881,Originale,n.d.,n.d.,1123 03 04,Trasmundus notarius,1123 03 04,,No,FV SG Pergamene
1109,1109,FV SG Pergamene 6882,San Giorgio in Braida (ASVat FV 1),Pergamene,6882,"Vitalis notarius sacri palacii, copia XII secolo",n.d.,n.d.,1124 03 03,Chonradus notarius domini imperatoris,1124 03 03,,No,FV SG Pergamene
1110,1110,FV SG Pergamene 6883,San Giorgio in Braida (ASVat FV 1),Pergamene,6883,Originale,n.d.,n.d.,1128 11 06,Enricus notarius,1128 11 06,,No,FV SG Pergamene
1111,1111,FV SG Pergamene 6884,San Giorgio in Braida (ASVat FV 1),Pergamene,6884,Originale,n.d.,n.d.,1125 02 20,Iohannes notarius,1125 02 20,,No,FV SG Pergamene
1112,1112,FV SG Pergamene 6885,San Giorgio in Braida (ASVat FV 1),Pergamene,6885,Originale,n.d.,n.d.,1126 03 22,Enricus notarius,1126 03 22,,No,FV SG Pergamene
1113,1113,FV SG Pergamene 6886,San Giorgio in Braida (ASVat FV 1),Pergamene,6886,"Trasmundus tabellio, copia autentica XII secolo",n.d.,n.d.,1127 00 00,Documento vescovile,1127 00 00,,No,FV SG Pergamene
1114,1114,FV SG Pergamene 6887,San Giorgio in Braida (ASVat FV 1),Pergamene,6887,"Copia semplice XIII secolo, da copia XII secolo",n.d.,n.d.,1127 00 00,Documento vescovile,1127 00 00,,No,FV SG Pergamene
1115,1115,FV SG Pergamene 6888,San Giorgio in Braida (ASVat FV 1),Pergamene,6888,Originale,n.d.,n.d.,1128 02 28,Trasmundus notarius,1128 02 28,,No,FV SG Pergamene
1116,1116,FV SG Pergamene 6889,San Giorgio in Braida (ASVat FV 1),Pergamene,6889,Originale,n.d.,n.d.,1128 11 07,Arnaldus notarius,1128 11 07,,No,FV SG Pergamene
1117,1117,FV SG Pergamene 6890,San Giorgio in Braida (ASVat FV 1),Pergamene,6890,Originale,n.d.,n.d.,1128 12 08,Trasmundus notarius,1128 12 08,,No,FV SG Pergamene
1118,1118,FV SG Pergamene 6891,San Giorgio in Braida (ASVat FV 1),Pergamene,6891,Originale,n.d.,n.d.,1129 06 11,Enricus notarius,1129 06 11,,No,FV SG Pergamene
1119,1119,FV SG Pergamene 6892,San Giorgio in Braida (ASVat FV 1),Pergamene,6892,Originale,n.d.,n.d.,1130 04 00,Ubilizone notarius,1130 04 00,,No,FV SG Pergamene
1120,1120,FV SG Pergamene 6893,San Giorgio in Braida (ASVat FV 1),Pergamene,6893,Originale,n.d.,n.d.,1130 10 14,Trasmundus notarius,1130 10 14,,No,FV SG Pergamene
1121,1121,FV SG Pergamene 6894,San Giorgio in Braida (ASVat FV 1),Pergamene,6894,Originale,n.d.,n.d.,1121 00 00-1147 00 00,Atto non convalidato,1121 00 00,1147 00 00,No,FV SG Pergamene
1122,1122,FV SG Pergamene 6895,San Giorgio in Braida (ASVat FV 1),Pergamene,6895,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
1123,1123,FV SG Pergamene 6896,San Giorgio in Braida (ASVat FV 1),Pergamene,6896,Originale,n.d.,n.d.,1131 02 02,Albericus qui Bonefacius notarius,1131 02 02,,No,FV SG Pergamene
1124,1124,FV SG Pergamene 6897,San Giorgio in Braida (ASVat FV 1),Pergamene,6897,Originale,n.d.,n.d.,1131 02 05,Bonifacius notarius,1131 02 05,,No,FV SG Pergamene
1125,1125,FV SG Pergamene 6898,San Giorgio in Braida (ASVat FV 1),Pergamene,6898,Originale,n.d.,n.d.,1133 03 03,Trasmundus notarius,1133 03 03,,No,FV SG Pergamene
1126,1126,FV SG Pergamene 6899,San Giorgio in Braida (ASVat FV 1),Pergamene,6899,Originale,n.d.,n.d.,1131 05 00,Bonifacius notarius,1131 05 00,,No,FV SG Pergamene
1127,1127,FV SG Pergamene 6900,San Giorgio in Braida (ASVat FV 1),Pergamene,6900,Originale,n.d.,n.d.,1132 04 04,Enricus notarius,1132 04 04,,No,FV SG Pergamene
1128,1128,FV SG Pergamene 6901,San Giorgio in Braida (ASVat FV 1),Pergamene,6901,Originale,n.d.,n.d.,1132 06 30,Documento papale,1132 06 30,,No,FV SG Pergamene
1129,1129,FV SG Pergamene 6902,San Giorgio in Braida (ASVat FV 1),Pergamene,6902,Copia autentica 1597,n.d.,n.d.,1186 09 12,Documento papale,1186 09 12,,No,FV SG Pergamene
1130,1130,FV SG Pergamene 6903,San Giorgio in Braida (ASVat FV 1),Pergamene,6903,Originale,n.d.,n.d.,1134 01 25,Bonus notarius domini imperatoris,1134 01 25,,No,FV SG Pergamene
1131,1131,FV SG Pergamene 6904,San Giorgio in Braida (ASVat FV 1),Pergamene,6904,Originale,n.d.,n.d.,1133 03 04,Trasmundus notarius,1133 03 04,,No,FV SG Pergamene
1132,1132,FV SG Pergamene 6905,San Giorgio in Braida (ASVat FV 1),Pergamene,6905,Originale,n.d.,n.d.,1133 03 04,Trasmundus notarius,1133 03 04,,No,FV SG Pergamene
1133,1133,FV SG Pergamene 6906,San Giorgio in Braida (ASVat FV 1),Pergamene,6906,Originale,n.d.,n.d.,1133 03 06,Trasmundus notarius,1133 03 06,,No,FV SG Pergamene
1134,1134,FV SG Pergamene 6907,San Giorgio in Braida (ASVat FV 1),Pergamene,6907,Originale,n.d.,n.d.,1133 04 20,Trasmundus notarius,1133 04 20,,No,FV SG Pergamene
1135,1135,FV SG Pergamene 6908,San Giorgio in Braida (ASVat FV 1),Pergamene,6908,Originale,n.d.,n.d.,1136 06 00,Enricus notarius,1136 06 00,,No,FV SG Pergamene
