,Unnamed: 0,identificativo,fondo,serie,collocazione,copia,collocazione_antica,recto,data,notaio,data_i,data_f,is_digitized,fondo_serie
2113,2113,FV SG Pergamene 7900,San Giorgio in Braida (ASVat FV 1),Pergamene,7900,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2114,2114,FV SG Pergamene 7901,San Giorgio in Braida (ASVat FV 1),Pergamene,7901,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2115,2115,FV SG Pergamene 7902,San Giorgio in Braida (ASVat FV 1),Pergamene,7902,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2116,2116,FV SG Pergamene 7903,San Giorgio in Braida (ASVat FV 1),Pergamene,7903,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2117,2117,FV SG Pergamene 7904,San Giorgio in Braida (ASVat FV 1),Pergamene,7904,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2118,2118,FV SG Pergamene 7905,San Giorgio in Braida (ASVat FV 1),Pergamene,7905,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2119,2119,FV SG Pergamene 7906,San Giorgio in Braida (ASVat FV 1),Pergamene,7906,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2120,2120,FV SG Pergamene 7907,San Giorgio in Braida (ASVat FV 1),Pergamene,7907,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2121,2121,FV SG Pergamene 7908,San Giorgio in Braida (ASVat FV 1),Pergamene,7908,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2122,2122,FV SG Pergamene 7909,San Giorgio in Braida (ASVat FV 1),Pergamene,7909,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2123,2123,FV SG Pergamene 7910,San Giorgio in Braida (ASVat FV 1),Pergamene,7910,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2124,2124,FV SG Pergamene 7911,San Giorgio in Braida (ASVat FV 1),Pergamene,7911,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2125,2125,FV SG Pergamene 7912,San Giorgio in Braida (ASVat FV 1),Pergamene,7912,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2126,2126,FV SG Pergamene 7913,San Giorgio in Braida (ASVat FV 1),Pergamene,7913,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2127,2127,FV SG Pergamene 7914,San Giorgio in Braida (ASVat FV 1),Pergamene,7914,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2128,2128,FV SG Pergamene 7915,San Giorgio in Braida (ASVat FV 1),Pergamene,7915,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2129,2129,FV SG Pergamene 7916,San Giorgio in Braida (ASVat FV 1),Pergamene,7916,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2130,2130,FV SG Pergamene 7917,San Giorgio in Braida (ASVat FV 1),Pergamene,7917,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2131,2131,FV SG Pergamene 7918,San Giorgio in Braida (ASVat FV 1),Pergamene,7918,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2132,2132,FV SG Pergamene 7919,San Giorgio in Braida (ASVat FV 1),Pergamene,7919,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2133,2133,FV SG Pergamene 7920,San Giorgio in Braida (ASVat FV 1),Pergamene,7920,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2134,2134,FV SG Pergamene 7921,San Giorgio in Braida (ASVat FV 1),Pergamene,7921,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2135,2135,FV SG Pergamene 7922,San Giorgio in Braida (ASVat FV 1),Pergamene,7922,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2136,2136,FV SG Pergamene 7923,San Giorgio in Braida (ASVat FV 1),Pergamene,7923,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2137,2137,FV SG Pergamene 7924,San Giorgio in Braida (ASVat FV 1),Pergamene,7924,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2138,2138,FV SG Pergamene 7925,San Giorgio in Braida (ASVat FV 1),Pergamene,7925,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2139,2139,FV SG Pergamene 7926,San Giorgio in Braida (ASVat FV 1),Pergamene,7926,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2140,2140,FV SG Pergamene 7927,San Giorgio in Braida (ASVat FV 1),Pergamene,7927,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2141,2141,FV SG Pergamene 7928,San Giorgio in Braida (ASVat FV 1),Pergamene,7928,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2142,2142,FV SG Pergamene 7929,San Giorgio in Braida (ASVat FV 1),Pergamene,7929,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2143,2143,FV SG Pergamene 7930,San Giorgio in Braida (ASVat FV 1),Pergamene,7930,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2144,2144,FV SG Pergamene 7931,San Giorgio in Braida (ASVat FV 1),Pergamene,7931,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2145,2145,FV SG Pergamene 7932,San Giorgio in Braida (ASVat FV 1),Pergamene,7932,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2146,2146,FV SG Pergamene 7933,San Giorgio in Braida (ASVat FV 1),Pergamene,7933,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
